raceId,year,circuitId,driverId,Results_position,DidWin,Results_desc,Qualifying_position,surname,name,status
18,2008,1,1,1,Yes,First,1,Hamilton,Albert Park Grand Prix Circuit,Finished
18,2008,1,9,,No,,2,Kubica,Albert Park Grand Prix Circuit,Collision
18,2008,1,5,5,No,,3,Kovalainen,Albert Park Grand Prix Circuit,Finished
18,2008,1,13,,No,,4,Massa,Albert Park Grand Prix Circuit,Engine
18,2008,1,2,2,No,Second,5,Heidfeld,Albert Park Grand Prix Circuit,Finished
18,2008,1,15,,No,,6,Trulli,Albert Park Grand Prix Circuit,Electrical
18,2008,1,3,3,No,Third,7,Rosberg,Albert Park Grand Prix Circuit,Finished
18,2008,1,14,,No,,8,Coulthard,Albert Park Grand Prix Circuit,Collision
18,2008,1,10,,No,,9,Glock,Albert Park Grand Prix Circuit,Accident
18,2008,1,20,,No,,10,Vettel,Albert Park Grand Prix Circuit,Collision
18,2008,1,22,,No,,11,Barrichello,Albert Park Grand Prix Circuit,Disqualified
18,2008,1,4,4,No,,12,Alonso,Albert Park Grand Prix Circuit,Finished
18,2008,1,18,,No,,13,Button,Albert Park Grand Prix Circuit,Collision
18,2008,1,6,6,No,,14,Nakajima,Albert Park Grand Prix Circuit,+1 Lap
18,2008,1,17,,No,,15,Webber,Albert Park Grand Prix Circuit,Collision
18,2008,1,8,8,No,,16,RÃ_ikkÃ¶nen,Albert Park Grand Prix Circuit,Engine
18,2008,1,21,,No,,17,Fisichella,Albert Park Grand Prix Circuit,Collision
18,2008,1,7,7,No,,18,Bourdais,Albert Park Grand Prix Circuit,Engine
18,2008,1,16,,No,,19,Sutil,Albert Park Grand Prix Circuit,Hydraulics
18,2008,1,11,,No,,20,Sato,Albert Park Grand Prix Circuit,Transmission
18,2008,1,12,,No,,21,Piquet Jr.,Albert Park Grand Prix Circuit,Clutch
18,2008,1,19,,No,,22,Davidson,Albert Park Grand Prix Circuit,Collision
19,2008,2,13,,No,,1,Massa,Sepang International Circuit,Spun off
19,2008,2,8,1,Yes,First,2,RÃ_ikkÃ¶nen,Sepang International Circuit,Finished
19,2008,2,5,3,No,Third,3,Kovalainen,Sepang International Circuit,Finished
19,2008,2,1,5,No,,4,Hamilton,Sepang International Circuit,Finished
19,2008,2,15,4,No,,5,Trulli,Sepang International Circuit,Finished
19,2008,2,9,2,No,Second,6,Kubica,Sepang International Circuit,Finished
19,2008,2,2,6,No,,7,Heidfeld,Sepang International Circuit,Finished
19,2008,2,17,7,No,,8,Webber,Sepang International Circuit,Finished
19,2008,2,4,8,No,,9,Alonso,Sepang International Circuit,Finished
19,2008,2,10,,No,,10,Glock,Sepang International Circuit,Collision
19,2008,2,18,10,No,,11,Button,Sepang International Circuit,Finished
19,2008,2,14,9,No,,12,Coulthard,Sepang International Circuit,Finished
19,2008,2,12,11,No,,13,Piquet Jr.,Sepang International Circuit,Finished
19,2008,2,22,13,No,,14,Barrichello,Sepang International Circuit,+1 Lap
19,2008,2,20,,No,,15,Vettel,Sepang International Circuit,Engine
19,2008,2,3,14,No,,16,Rosberg,Sepang International Circuit,+1 Lap
19,2008,2,21,12,No,,17,Fisichella,Sepang International Circuit,+1 Lap
19,2008,2,6,17,No,,18,Nakajima,Sepang International Circuit,+2 Laps
19,2008,2,7,,No,,19,Bourdais,Sepang International Circuit,Spun off
19,2008,2,11,16,No,,20,Sato,Sepang International Circuit,+2 Laps
19,2008,2,16,,No,,21,Sutil,Sepang International Circuit,Hydraulics
19,2008,2,19,15,No,,22,Davidson,Sepang International Circuit,+1 Lap
20,2008,3,9,3,No,Third,1,Kubica,Bahrain International Circuit,Finished
20,2008,3,13,1,Yes,First,2,Massa,Bahrain International Circuit,Finished
20,2008,3,1,13,No,,3,Hamilton,Bahrain International Circuit,+1 Lap
20,2008,3,8,2,No,Second,4,RÃ_ikkÃ¶nen,Bahrain International Circuit,Finished
20,2008,3,5,5,No,,5,Kovalainen,Bahrain International Circuit,Finished
20,2008,3,2,4,No,,6,Heidfeld,Bahrain International Circuit,Finished
20,2008,3,15,6,No,,7,Trulli,Bahrain International Circuit,Finished
20,2008,3,3,8,No,,8,Rosberg,Bahrain International Circuit,Finished
20,2008,3,18,,No,,9,Button,Bahrain International Circuit,Collision
20,2008,3,4,10,No,,10,Alonso,Bahrain International Circuit,Finished
20,2008,3,17,7,No,,11,Webber,Bahrain International Circuit,Finished
20,2008,3,22,11,No,,12,Barrichello,Bahrain International Circuit,Finished
20,2008,3,10,9,No,,13,Glock,Bahrain International Circuit,Finished
20,2008,3,12,,No,,14,Piquet Jr.,Bahrain International Circuit,Gearbox
